Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",1148.957,1197.901,1205.13,972.433,995.049,989.86,897.135,941.131,1001.17,842.338,648.541,676.735,768.296,852.391,941.138
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,1002.83,1189.388,1203.038,1210.719,1091.656,938.677,979.13,715.219,939.146,967.599,951.493,919.985,964.524,1226.414,1306.691
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,122835.91499999998,131454.131,140760.977,151697.02800000002,161216.39800000002,169221.71300000002,164576.42299999998,172610.52799999996,185430.58499999996,189792.27699999997,192482.33700000006,202416.62499999997,216860.37500000003,224655.09900000005,228796.05300000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,16911.033,18829.427,20672.444,22458.217,24277.964,25029.362,22679.597,26328.45,30334.327,33474.444,32587.538,38060.305,45826.996,42781.591,41011.711
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,24476.605,26161.023,27973.254,31539.528,32352.629,31126.566,26450.924,28165.328,31286.956,30184.323,30966.488,31227.02,33521.118,36852.665,36877.654
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",15208.357,16872.885,18970.624,20338.517,23721.107,28748.032,30503.159,31201.746,30304.392,28212.46,27809.278,28147.772,27575.235,27905.107,28275.987
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,1991.607,2559.331,3187.239,3864.989,4672.05,4871.016,5316.095,5216.64,5413.456,6381.148,6957.682,7243.829,8471.466,10667.13,12038.865
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,1746.219,2168.337,2146.807,2399.664,2839.352,3548.681,4147.832,4757.078,6389.665,7316.136,8149.709,9072.736,10169.496,11459.523,12462.899
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,20122.405,21107.449,21891.405,23398.276,24827.521,26311.972,26556.8,27442.658,28478.311,29417.797,29877.616,30579.925,31639.166,32858.598,33815.728
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",6896.049,7712.643,8784.515,9584.032,9830.836,10659.455,9727.269,9340.455,10267.941,9774.674,10007.497,11073.273,11059.931,11976.636,12552.962
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,118.139,118.531,119.109,129.32,134.701,134.997,131.828,144.317,158.947,174.305,172.972,174.974,186.567,208.858,223.525
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",3798.666,4057.177,4412.317,4864.203,5380.419,5745.068,5326.648,5654.234,6387.706,6987.705,7378.325,7313.703,7268.687,7781.613,8541.062
