Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",711.807,724.156,820.308,660.13,667.259,664.627,721.76,804.438,810.498,747.357,788.457,868.979,893.74,868.811,832.702
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,1477.368,1481.243,1613.449,1995.004,2090.922,1654.316,1686.889,1842.17,1931.87,2271.818,2188.617,2047.958,2022.884,2136.162,2210.862
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,187003.384,194164.791,200180.338,205875.526,209745.027,214921.31900000002,208424.201,223402.069,235491.99500000002,245955.29799999998,251809.35499999998,258459.167,261237.535,269932.453,275910.694
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,32766.897,34359.419,36749.083,39103.816,40528.85,41420.816,38320.598,43588.773,48207.139,51021.906,51467.291,54796.008,55039.303,58676.407,59503.69
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,34069.545,34767.042,36062.779,34218.632,32832.889,34944.134,31179.17,34789.5,37865.565,37876.066,42609.939,41257.089,40833.046,40075.167,40424.227
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",16534.737,17307.055,17450.159,18327.083,18780.692,19027.636,17188.739,18921.407,19628.293,20133.174,20059.976,20383.375,21006.996,21286.607,22415.918
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,1096.757,1343.007,1619.519,2059.74,2665.502,2941.072,3332.047,3463.961,3609.075,4661.829,4904.878,5027.821,5976.77,7480.192,8594.684
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,3380.905,3993.038,3822.422,4133.696,4509.077,5771.094,6043.806,8526.686,7461.907,8430.762,9627.067,10513.797,11863.98,13152.468,13802.458
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,31065.134,32197.201,33175.812,34473.514,35676.76,36892.825,37532.799,38833.907,40155.69,41345.35,41856.712,42720.511,43985.071,44922.218,45502.488
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",5323.541,5545.462,5498.306,4715.704,5643.223,6068.164,5456.179,4683.719,5584.861,6108.34,6498.643,7360.723,7066.511,7138.583,7075.909
